[2026-04-16T09:56:54.520733] Redirecting stdout/stderr to: logs/seq_512_batch_size_ablation/lstm_logs.txt
No tokenizer path provided, training will create a new tokenizer from the training text
Usage: python train_causal_ldru.py --tokenizer_path <path_to_tokenizer_file>
Example: python train_causal_ldru.py --tokenizer_path /path/to/your/tokenizer.model
Training with text file: ptb_train.txt
Using validation text file: ptb_val.txt
Using test text file for model testing: ptb_test.txt
Creating dataset from text file...
Using SPTokenizer for subword tokenization.
Tokenizer model will be saved to: tokenizers/ptb_tokenizer_vocab1000_seq512_for_lstm_seq512_model_lstm_seq2seq_silu_default_512_SP.model
Tokenizer vocab size: 1000
Creating training dataset from text file...
Loading text from: ptb_train.txt
Tokenizing text...
Total tokens: 1,735,164
Created 6,776 sequences of length 512
Each sequence: [context tokens (length 511)] -> [target token]
All sequences used for dataset: 6,776
\nSample sequence: 'ed to be a  ⁇ unk ⁇  the spokesman said pete and jeff and joe jr. have taken over the reins and are ...'
Creating validation dataset from text file...
Loading text from: ptb_val.txt
Tokenizing text...
Total tokens: 135,593
Created 528 sequences of length 512
Each sequence: [context tokens (length 511)] -> [target token]
All sequences used for dataset: 528
Validation sequences: 528
Creating test dataset from text file...
Loading text from: ptb_test.txt
Tokenizing text...
Total tokens: 154,133
Created 601 sequences of length 512
Each sequence: [context tokens (length 511)] -> [target token]
All sequences used for dataset: 601
Test sequences: 601
Created evaluation model with dropout disabled
Initializing model...
Checkpoints will be saved to: checkpoints
Model has 1,322,200 parameters
Initial learning rate: 1.00e-03
Starting training...

Epoch 1/100

Training: 81it [04:19, 22.47it/s, Loss=5.3375, Acc=0.1555, PPL=238.7, LR=1.00e-03]
Training: 81it [04:19, 22.47it/s, Loss=5.3327, Acc=0.1559, PPL=237.5, LR=1.00e-03]
Training: 81it [04:19, 22.47it/s, Loss=5.3262, Acc=0.1570, PPL=236.1, LR=1.00e-03]
Training: 81it [04:19, 22.47it/s, Loss=5.3213, Acc=0.1574, PPL=234.9, LR=1.00e-03]
Training: 85it [04:19, 25.11it/s, Loss=5.3213, Acc=0.1574, PPL=234.9, LR=1.00e-03]
Training: 85it [04:19, 25.11it/s, Loss=5.3152, Acc=0.1599, PPL=233.6, LR=1.00e-03]
Training: 85it [04:19, 25.11it/s, Loss=5.3083, Acc=0.1602, PPL=232.2, LR=1.00e-03]
Training: 85it [04:19, 25.11it/s, Loss=5.3034, Acc=0.1598, PPL=231.0, LR=1.00e-03]
Training: 85it [04:19, 25.11it/s, Loss=5.2953, Acc=0.1601, PPL=229.5, LR=1.00e-03]
Training: 89it [04:19, 27.27it/s, Loss=5.2953, Acc=0.1601, PPL=229.5, LR=1.00e-03]
Training: 89it [04:19, 27.27it/s, Loss=5.2909, Acc=0.1604, PPL=228.5, LR=1.00e-03]
Training: 89it [04:19, 27.27it/s, Loss=5.2858, Acc=0.1607, PPL=227.3, LR=1.00e-03]
Training: 89it [04:19, 27.27it/s, Loss=5.2808, Acc=0.1603, PPL=226.2, LR=1.00e-03]
Training: 89it [04:19, 27.27it/s, Loss=5.2760, Acc=0.1613, PPL=225.1, LR=1.00e-03]
Training: 93it [04:19, 28.95it/s, Loss=5.2760, Acc=0.1613, PPL=225.1, LR=1.00e-03]
Training: 93it [04:19, 28.95it/s, Loss=5.2712, Acc=0.1616, PPL=224.1, LR=1.00e-03]
Training: 93it [04:20, 28.95it/s, Loss=5.2657, Acc=0.1605, PPL=222.9, LR=1.00e-03]
Training: 93it [04:20, 28.95it/s, Loss=5.2609, Acc=0.1615, PPL=221.9, LR=1.00e-03]
Training: 93it [04:20, 28.95it/s, Loss=5.2561, Acc=0.1637, PPL=220.8, LR=1.00e-03]
Training: 97it [04:20, 30.30it/s, Loss=5.2561, Acc=0.1637, PPL=220.8, LR=1.00e-03]
Training: 97it [04:20, 30.30it/s, Loss=5.2510, Acc=0.1639, PPL=219.8, LR=1.00e-03]
Training: 97it [04:20, 30.30it/s, Loss=5.2450, Acc=0.1641, PPL=218.6, LR=1.00e-03]
Training: 97it [04:20, 30.30it/s, Loss=5.2392, Acc=0.1644, PPL=217.5, LR=1.00e-03]
Training: 97it [04:20, 30.30it/s, Loss=5.2346, Acc=0.1646, PPL=216.5, LR=1.00e-03]
Training: 101it [04:20, 31.36it/s, Loss=5.2346, Acc=0.1646, PPL=216.5, LR=1.00e-03]
Training: 101it [04:20, 31.36it/s, Loss=5.2287, Acc=0.1654, PPL=215.4, LR=1.00e-03]
Training: 101it [04:20, 31.36it/s, Loss=5.2228, Acc=0.1669, PPL=214.3, LR=1.00e-03]
Training: 101it [04:20, 31.36it/s, Loss=5.2175, Acc=0.1683, PPL=213.2, LR=1.00e-03]
Training: 101it [04:20, 31.36it/s, Loss=5.2124, Acc=0.1679, PPL=212.3, LR=1.00e-03]
Training: 105it [04:20, 32.00it/s, Loss=5.2124, Acc=0.1679, PPL=212.3, LR=1.00e-03]
Training: 105it [04:20, 32.00it/s, Loss=5.2079, Acc=0.1680, PPL=211.3, LR=1.00e-03]
Training: 105it [04:20, 32.00it/s, Loss=5.2024, Acc=0.1671, PPL=210.3, LR=1.00e-03]
Training: 105it [04:20, 32.00it/s, Loss=5.1966, Acc=0.1684, PPL=209.2, LR=1.00e-03]
Training: 105it [04:20, 32.00it/s, Loss=5.1920, Acc=0.1680, PPL=208.3, LR=1.00e-03]
Training: 109it [04:20, 32.52it/s, Loss=5.1920, Acc=0.1680, PPL=208.3, LR=1.00e-03]
Training: 109it [04:20, 32.52it/s, Loss=5.1877, Acc=0.1682, PPL=207.5, LR=1.00e-03]
Training: 109it [04:20, 32.52it/s, Loss=5.1821, Acc=0.1689, PPL=206.4, LR=1.00e-03]
Training: 109it [04:20, 32.52it/s, Loss=5.1767, Acc=0.1702, PPL=205.5, LR=1.00e-03]
Training: 109it [04:20, 32.52it/s, Loss=5.1707, Acc=0.1709, PPL=204.5, LR=1.00e-03]
Training: 113it [04:20, 33.02it/s, Loss=5.1707, Acc=0.1709, PPL=204.5, LR=1.00e-03]
Training: 113it [04:20, 33.02it/s, Loss=5.1661, Acc=0.1716, PPL=203.6, LR=1.00e-03]
Training: 113it [04:20, 33.02it/s, Loss=5.1617, Acc=0.1717, PPL=202.7, LR=1.00e-03]
Training: 113it [04:20, 33.02it/s, Loss=5.1557, Acc=0.1719, PPL=201.7, LR=1.00e-03]
Training: 113it [04:20, 33.02it/s, Loss=5.1503, Acc=0.1731, PPL=200.8, LR=1.00e-03]
Training: 117it [04:20, 33.32it/s, Loss=5.1503, Acc=0.1731, PPL=200.8, LR=1.00e-03]
Training: 117it [04:20, 33.32it/s, Loss=5.1456, Acc=0.1727, PPL=199.9, LR=1.00e-03]
Training: 117it [04:20, 33.32it/s, Loss=5.1417, Acc=0.1723, PPL=199.1, LR=1.00e-03]
Training: 117it [04:20, 33.32it/s, Loss=5.1367, Acc=0.1734, PPL=198.3, LR=1.00e-03]
Training: 117it [04:20, 33.32it/s, Loss=5.1317, Acc=0.1730, PPL=197.4, LR=1.00e-03]
Training: 121it [04:20, 33.50it/s, Loss=5.1317, Acc=0.1730, PPL=197.4, LR=1.00e-03]
Training: 121it [04:20, 33.50it/s, Loss=5.1265, Acc=0.1742, PPL=196.5, LR=1.00e-03]
Training: 121it [04:20, 33.50it/s, Loss=5.1221, Acc=0.1733, PPL=195.7, LR=1.00e-03]
Training: 121it [04:20, 33.50it/s, Loss=5.1172, Acc=0.1739, PPL=194.9, LR=1.00e-03]
Training: 121it [04:20, 33.50it/s, Loss=5.1129, Acc=0.1750, PPL=194.1, LR=1.00e-03]
Training: 125it [04:20, 33.41it/s, Loss=5.1129, Acc=0.1750, PPL=194.1, LR=1.00e-03]
Training: 125it [04:20, 33.41it/s, Loss=5.1081, Acc=0.1761, PPL=193.3, LR=1.00e-03]
Training: 125it [04:20, 33.41it/s, Loss=5.1026, Acc=0.1762, PPL=192.4, LR=1.00e-03]
Training: 125it [04:20, 33.41it/s, Loss=5.0976, Acc=0.1768, PPL=191.6, LR=1.00e-03]
Training: 125it [04:21, 33.41it/s, Loss=5.0918, Acc=0.1768, PPL=190.7, LR=1.00e-03]
Training: 129it [04:21, 33.64it/s, Loss=5.0918, Acc=0.1768, PPL=190.7, LR=1.00e-03]
Training: 129it [04:21, 33.64it/s, Loss=5.0869, Acc=0.1769, PPL=189.9, LR=1.00e-03]
Training: 129it [04:21, 33.64it/s, Loss=5.0822, Acc=0.1770, PPL=189.1, LR=1.00e-03]
Training: 129it [04:21, 33.64it/s, Loss=5.0769, Acc=0.1776, PPL=188.3, LR=1.00e-03]
Training: 129it [04:21, 33.64it/s, Loss=5.0721, Acc=0.1781, PPL=187.5, LR=1.00e-03]
Training: 133it [04:21, 33.74it/s, Loss=5.0721, Acc=0.1781, PPL=187.5, LR=1.00e-03]
Training: 133it [04:21, 33.74it/s, Loss=5.0668, Acc=0.1786, PPL=186.7, LR=1.00e-03]
Training: 133it [04:21, 33.74it/s, Loss=5.0621, Acc=0.1778, PPL=185.9, LR=1.00e-03]
Training: 133it [04:21, 33.74it/s, Loss=5.0573, Acc=0.1778, PPL=185.2, LR=1.00e-03]
Training: 133it [04:21, 33.74it/s, Loss=5.0517, Acc=0.1784, PPL=184.3, LR=1.00e-03]
Training: 137it [04:21, 33.79it/s, Loss=5.0517, Acc=0.1784, PPL=184.3, LR=1.00e-03]
Training: 137it [04:21, 33.79it/s, Loss=5.0484, Acc=0.1789, PPL=183.7, LR=1.00e-03]
Training: 137it [04:21, 33.79it/s, Loss=5.0428, Acc=0.1785, PPL=182.9, LR=1.00e-03]
Training: 137it [04:21, 33.79it/s, Loss=5.0383, Acc=0.1795, PPL=182.2, LR=1.00e-03]
Training: 137it [04:21, 33.79it/s, Loss=5.0343, Acc=0.1791, PPL=181.5, LR=1.00e-03]
Training: 141it [04:21, 33.59it/s, Loss=5.0343, Acc=0.1791, PPL=181.5, LR=1.00e-03]
Training: 141it [04:21, 33.59it/s, Loss=5.0297, Acc=0.1787, PPL=180.8, LR=1.00e-03]
Training: 141it [04:21, 33.59it/s, Loss=5.0259, Acc=0.1788, PPL=180.2, LR=1.00e-03]
Training: 141it [04:21, 33.59it/s, Loss=5.0211, Acc=0.1793, PPL=179.4, LR=1.00e-03]
Training: 141it [04:21, 33.59it/s, Loss=5.0167, Acc=0.1797, PPL=178.8, LR=1.00e-03]
Training: 145it [04:21, 33.80it/s, Loss=5.0167, Acc=0.1797, PPL=178.8, LR=1.00e-03]
Training: 145it [04:21, 33.80it/s, Loss=5.0125, Acc=0.1802, PPL=178.1, LR=1.00e-03]
Training: 145it [04:21, 33.80it/s, Loss=5.0080, Acc=0.1811, PPL=177.4, LR=1.00e-03]
Training: 145it [04:21, 33.80it/s, Loss=5.0037, Acc=0.1816, PPL=176.8, LR=1.00e-03]
Training: 145it [04:21, 33.80it/s, Loss=4.9991, Acc=0.1833, PPL=176.1, LR=1.00e-03]
Training: 149it [04:21, 33.94it/s, Loss=4.9991, Acc=0.1833, PPL=176.1, LR=1.00e-03]
Training: 149it [04:21, 33.94it/s, Loss=4.9944, Acc=0.1837, PPL=175.4, LR=1.00e-03]
Training: 149it [04:21, 33.94it/s, Loss=4.9906, Acc=0.1842, PPL=174.8, LR=1.00e-03]
Training: 149it [04:21, 33.94it/s, Loss=4.9856, Acc=0.1842, PPL=174.1, LR=1.00e-03]
Training: 149it [04:21, 33.94it/s, Loss=4.9811, Acc=0.1846, PPL=173.4, LR=1.00e-03]
Training: 153it [04:21, 34.07it/s, Loss=4.9811, Acc=0.1846, PPL=173.4, LR=1.00e-03]
Training: 153it [04:21, 34.07it/s, Loss=4.9771, Acc=0.1867, PPL=172.8, LR=1.00e-03]
Training: 153it [04:21, 34.07it/s, Loss=4.9722, Acc=0.1867, PPL=172.1, LR=1.00e-03]
Training: 153it [04:21, 34.07it/s, Loss=4.9672, Acc=0.1871, PPL=171.5, LR=1.00e-03]
Training: 153it [04:21, 34.07it/s, Loss=4.9629, Acc=0.1871, PPL=170.8, LR=1.00e-03]
Training: 157it [04:21, 34.02it/s, Loss=4.9629, Acc=0.1871, PPL=170.8, LR=1.00e-03]
Training: 157it [04:21, 34.02it/s, Loss=4.9590, Acc=0.1875, PPL=170.2, LR=1.00e-03]
Training: 157it [04:21, 34.02it/s, Loss=4.9550, Acc=0.1867, PPL=169.6, LR=1.00e-03]
Training: 157it [04:21, 34.02it/s, Loss=4.9507, Acc=0.1871, PPL=169.0, LR=1.00e-03]
Training: 157it [04:21, 34.02it/s, Loss=4.9460, Acc=0.1871, PPL=168.4, LR=1.00e-03]
Training: 161it [04:21, 34.01it/s, Loss=4.9460, Acc=0.1871, PPL=168.4, LR=1.00e-03]
Training: 161it [04:21, 34.01it/s, Loss=4.9426, Acc=0.1871, PPL=167.8, LR=1.00e-03]
Training: 161it [04:22, 34.01it/s, Loss=4.9385, Acc=0.1871, PPL=167.2, LR=1.00e-03]
Training: 161it [04:22, 34.01it/s, Loss=4.9346, Acc=0.1875, PPL=166.7, LR=1.00e-03]
Training: 161it [04:22, 34.01it/s, Loss=4.9316, Acc=0.1883, PPL=166.2, LR=1.00e-03]
Training: 165it [04:22, 33.84it/s, Loss=4.9316, Acc=0.1883, PPL=166.2, LR=1.00e-03]
Training: 165it [04:22, 33.84it/s, Loss=4.9264, Acc=0.1883, PPL=165.5, LR=1.00e-03]
Training: 165it [04:22, 33.84it/s, Loss=4.9229, Acc=0.1882, PPL=165.0, LR=1.00e-03]
Training: 165it [04:22, 33.84it/s, Loss=4.9180, Acc=0.1894, PPL=164.4, LR=1.00e-03]
Training: 165it [04:22, 33.84it/s, Loss=4.9146, Acc=0.1890, PPL=163.9, LR=1.00e-03]
Training: 169it [04:22, 33.99it/s, Loss=4.9146, Acc=0.1890, PPL=163.9, LR=1.00e-03]
Training: 169it [04:22, 33.99it/s, Loss=4.9100, Acc=0.1897, PPL=163.3, LR=1.00e-03]
Training: 169it [04:22, 33.99it/s, Loss=4.9061, Acc=0.1904, PPL=162.7, LR=1.00e-03]
Training: 169it [04:22, 33.99it/s, Loss=4.9021, Acc=0.1900, PPL=162.2, LR=1.00e-03]
Training: 169it [04:22, 33.99it/s, Loss=4.8976, Acc=0.1915, PPL=161.6, LR=1.00e-03]
Training: 173it [04:22, 34.10it/s, Loss=4.8976, Acc=0.1915, PPL=161.6, LR=1.00e-03]
Training: 173it [04:22, 34.10it/s, Loss=4.8927, Acc=0.1915, PPL=161.0, LR=1.00e-03]
Training: 173it [04:22, 34.10it/s, Loss=4.8887, Acc=0.1914, PPL=160.4, LR=1.00e-03]
Training: 173it [04:22, 34.10it/s, Loss=4.8849, Acc=0.1907, PPL=159.9, LR=1.00e-03]
Training: 173it [04:22, 34.10it/s, Loss=4.8807, Acc=0.1914, PPL=159.4, LR=1.00e-03]
